short_name,guitar_easy,guitar_medium,guitar_hard,guitar_expert,bass_easy,bass_medium,bass_hard,bass_expert,drums_easy,drums_medium,drums_hard,drums_expert,guitar_base_easy,guitar_base_medium,guitar_base_hard,guitar_base_expert,bass_base_easy,bass_base_medium,bass_base_hard,bass_base_expert,drums_base_easy,drums_base_medium,drums_base_hard,drums_base_expert,drums_allfills_easy,drums_allfills_medium,drums_allfills_hard,drums_allfills_expert,percussion_hits,nonpercussion_phrases,length
everlong,322,530,919,1133,276,527,946,988,605,955,1607,2436,8662,25425,39810,50347,7116,13391,23866,25555,15125,23875,40175,60900,11225,16950,28750,41775,0,31,253.270646
everylittlething,257,395,548,651,255,297,365,439,705,1096,1914,2351,6437,16387,23347,28906,8168,9375,11343,13444,17625,27400,47850,58775,14025,21650,37725,45875,0,70,266.389796
excusememr,213,441,706,981,205,386,637,759,646,803,1290,1647,5586,17859,28121,40086,5473,10214,16876,19980,16150,20075,32250,41175,12850,15925,25300,31950,0,50,186.995458
exgirlfriend,243,394,536,682,230,405,593,701,587,854,1074,1483,7647,13091,22741,27203,6854,11874,16773,19488,14675,21350,26850,37075,11625,17150,21025,28800,0,55,214.257324763
eyeofthetiger,279,285,490,800,234,412,467,544,687,1138,1176,1380,8223,11062,18975,27136,5931,10387,11798,13759,17175,28450,29400,34500,14050,23225,23575,27550,52,36,251.9881051
facedowninthedirt,253,444,688,843,305,545,848,983,684,905,1241,1569,7345,22304,32208,39317,7625,13625,21200,26150,17100,22625,31025,39225,12875,17250,23075,28375,56,41,226.183042
fakefriends,193,340,503,684,195,361,566,717,536,981,1379,1761,5265,11519,22333,30119,5157,9307,14432,18267,13400,24525,34475,44025,10475,19150,26900,34275,0,45,197.19941175
fatbottomedgirls,213,284,451,629,170,220,300,311,383,527,705,860,5689,12278,20008,26722,4454,5752,8138,8720,9575,13175,17625,21500,7700,10750,14075,16525,0,44,198.91678715
fearofthedarklive,356,614,1225,1720,346,663,1348,1993,1099,1520,2327,2971,10589,21277,39042,52450,9547,17472,38341,54478,27475,38000,58175,74275,22050,30900,46375,58300,94,53,446.39582875
featherpluckn,152,303,467,602,142,309,432,576,365,641,1105,1308,4478,8519,20747,24776,4245,8462,23231,27881,9125,16025,27625,32700,7850,13650,23450,27750,0,37,180.84258375
februarystars,259,456,581,669,146,210,305,398,518,752,897,1103,6919,12087,23352,29585,4434,6537,8940,11782,12950,18800,22425,27575,10000,14700,17050,20175,0,34,294.20392675
feedthetree,212,359,558,668,231,440,631,731,603,857,1364,1517,6248,9923,20750,24452,5922,11147,15937,19769,15075,21425,34100,37925,12200,17575,27475,30425,0,29,210.810901
feelgoodinc,165,320,454,546,148,161,198,234,675,1121,1221,1233,5907,11438,15588,17802,4771,4964,5922,6822,16875,28025,30525,30825,13800,22575,24500,24650,0,54,221.845354744
feelingthis,165,289,452,526,168,334,540,665,407,657,893,1248,4497,11522,18546,21125,4200,8350,13500,19825,10175,16425,22325,31200,8350,13250,18050,25150,0,47,176.529388
feelslikethefirsttime,181,246,373,478,176,322,379,403,468,741,920,1127,6010,7635,16473,19085,4709,8370,9855,10510,11700,18525,23000,28175,9175,14525,17250,20450,0,39,204.829225
feelthepain,284,610,1013,1135,233,354,538,622,530,1239,1528,1776,7115,18037,30170,35916,8345,11904,19682,22158,13250,30975,38200,44400,10425,24625,29675,33375,63,24,253.09067
fever,347,436,649,827,401,402,456,475,833,1073,1253,1472,14364,21286,27679,33697,10872,10897,12326,12804,20825,26825,31325,36800,16375,21100,24050,28050,64,42,322.788832
fire,152,218,330,464,172,286,401,517,473,653,1006,1429,4844,8545,12758,17175,4390,7283,10626,13526,11825,16325,25150,35725,9450,13600,20200,27150,0,40,165.961331
fireonthemountain,231,292,370,563,316,456,631,701,306,662,1038,1667,6194,9187,14310,20406,7900,11400,15775,17525,7650,16550,25950,41675,5900,13475,19325,30675,0,30,226.84039525
fireyourguns_live,212,390,493,690,255,480,720,939,558,867,1055,1522,6065,10851,18317,30987,6375,12000,18000,23475,13975,21700,26425,38125,10975,17150,20550,29800,0,32,173.663651
firstdate,215,295,584,687,230,429,721,823,564,761,1041,1479,5963,11826,21401,24301,6230,11434,18734,21284,14100,19025,26025,36975,11000,14675,19925,28025,0,44,172.538965958
fivemagics,374,617,1040,1667,410,738,1285,1749,834,1381,1989,2633,11216,21915,33752,50074,10559,19353,33529,45630,20850,34525,49725,65825,17150,28575,40300,53250,0,33,341.25663675
flathead,279,478,730,912,300,461,687,749,604,873,1078,1373,7149,12124,28066,36282,7530,11555,17205,21705,15100,21825,26950,34325,12400,18350,21875,27425,65,55,197.658284
flirtinwithdisaster,454,605,1041,1251,458,835,1345,1457,953,1286,1779,2159,13911,19319,32127,38391,11748,21191,33953,36819,23925,32250,44600,54100,19650,26600,35450,43500,99,38,300.058063
floaton,168,271,480,566,132,264,333,333,507,702,973,1229,4887,9261,15373,17949,3744,7086,8925,8967,12675,17550,24325,30725,9900,13700,18750,23775,0,33,209.753589
flowerpeople,179,326,493,639,118,179,242,288,309,449,720,978,4631,14533,19734,23453,3187,5110,6745,7893,7725,11225,18000,24450,5750,8475,13675,18500,0,33,190.478617144
forceofnature,217,350,496,648,239,424,658,808,622,891,1181,1411,6712,15296,21827,26349,6227,10852,18079,22089,15550,22275,29525,35275,12600,18175,22700,26475,0,46,244.684495
foreplaylongtime,387,534,784,1021,542,835,887,1002,1497,1919,2365,2692,15141,20830,36530,43581,14795,22151,23503,26468,37450,48000,59150,67325,32700,41300,49875,56850,140,52,494.93700175
foreplaylongtime_short,232,393,525,904,421,679,731,828,1129,1535,1802,1967,9219,15238,24744,35358,10777,17227,18539,21042,28250,38400,45075,49200,24625,33125,37900,41375,73,52,350.42174375
forever,482,612,839,1043,340,565,1035,1133,674,1042,1409,1984,13064,23186,38592,48549,9694,15355,27279,31319,16850,26050,35225,49600,13750,20825,26975,37325,0,36,261.81645175
forthoseabouttorock_live,370,596,976,1389,278,471,843,953,624,901,1613,2156,10073,15858,42343,60100,7661,12666,22552,25574,15625,22575,40400,53975,13175,19075,34850,45675,0,60,388.21011
fortunateson,202,215,272,348,296,295,575,576,528,811,884,943,6622,8789,10912,13572,7556,7531,14669,14694,13200,20275,22100,23575,11950,18575,20075,20725,0,28,142.486217
franklinstower,429,490,695,883,362,473,581,771,923,1450,1727,2092,11426,16682,23236,28315,9071,12603,15960,20709,23075,36250,43175,52300,17375,27500,32575,39475,30,45,287.282854
freeandeasy,202,305,562,801,169,297,383,426,462,560,894,1327,6069,14407,25023,34781,5026,8226,12224,13345,11550,14000,22350,33175,9200,10875,17200,25875,0,25,203.35747325
freedomtrain,208,408,510,785,166,211,238,273,315,436,879,1104,5225,10825,13475,21098,4150,5275,6058,6933,7875,10900,21975,27600,5900,8275,16625,20450,84,25,172.798759
freefallin,322,495,774,977,243,326,360,522,616,824,922,1028,8260,20841,34953,42553,7047,9672,11315,20567,15400,20600,23050,25700,11900,16450,18450,20125,0,42,264.55107975
funk49,299,399,591,878,266,399,511,814,550,813,1294,1636,7679,15121,20994,31074,6650,9975,12775,22317,13750,20325,32350,40900,11800,17275,27300,34600,194,12,250.420469
funkymonks,352,541,807,885,316,519,728,778,688,1017,1193,1405,8939,13773,28066,31126,8170,13388,19022,20270,17200,25425,29825,35125,15550,22950,26650,30950,35,46,332.5685265
funkysexfarm,256,390,676,865,255,366,486,561,440,743,1141,1492,6913,13975,22589,29022,6987,9762,13176,15037,11000,18575,28525,37300,8525,14325,21800,28275,0,52,255.607966
futures,167,337,523,861,155,309,392,623,540,860,1122,1342,4355,9710,17055,27285,4055,7905,9980,15755,13500,21500,28050,33550,11475,18025,22800,26875,0,32,242.148378
garden,344,422,685,991,213,290,370,440,469,870,1189,1422,10092,14959,22896,32733,7476,9386,12366,14211,11775,21850,29850,35750,9575,17850,23500,28175,0,40,316.1415245
gasoline,280,413,741,1247,257,342,555,723,560,1103,1301,1476,7354,13465,25365,43233,6779,8904,15891,20321,14000,27575,32525,36900,11125,21775,25250,28100,0,32,279.252515
gaybar,190,331,509,597,155,260,400,500,424,584,738,959,5173,11676,19269,23544,4156,6781,11193,13756,10600,14600,18450,23975,8450,11800,14400,18400,0,28,142.929802033
geraldine,202,351,687,781,193,337,673,769,575,676,901,1017,5440,9973,18991,21731,5005,8605,17005,19405,14375,16900,22525,25425,11275,12800,16575,18875,55,35,220.100776
getclean,219,331,809,961,182,290,513,573,782,997,1238,1476,5949,11048,24284,29091,4934,7781,13692,15534,19550,24925,30950,36900,17000,21850,26300,31125,0,31,214.956468
getiton,245,373,712,838,223,398,801,801,615,808,1207,1477,6827,14464,28152,32939,5716,10163,21459,21459,15375,20200,30175,36925,12475,16100,23975,28500,42,31,202.978312
getready2rokk,241,394,547,732,227,393,501,551,534,691,856,1114,6997,13324,17990,29646,6305,10950,13683,16745,13350,17275,21400,27850,10400,13500,16525,20675,0,34,172.420136106
getup,543,550,848,1116,425,568,914,1256,954,1624,1906,2224,13575,27500,37813,44838,10625,14200,22850,31540,23850,40600,47650,55600,18700,31900,37450,43650,0,99,318.913409025
getyourrockon,188,299,593,596,156,240,479,533,409,552,777,957,4784,10640,21784,22855,3996,6096,12257,13724,10225,13800,19425,23925,8600,11475,16050,19200,0,38,155.7755415
ghostbusters,274,370,624,877,203,376,622,775,753,1185,1315,1580,7294,13915,20771,28478,5699,10024,16525,20350,18825,29625,32875,39500,15300,23650,25925,30900,0,37,243.351668
gimmeshelter,451,718,871,880,369,493,806,925,848,1113,1447,1668,12112,25319,32202,34602,10245,13651,21476,24455,21200,27825,36175,41700,17500,23325,28425,31775,70,39,272.64486625
gimmesomemoney,144,251,281,352,147,220,231,292,398,551,717,876,3757,6494,12392,15735,3675,5500,6612,8173,9950,13775,17925,21900,8725,12175,15700,19175,0,41,153.948435631
gimmethreesteps,492,644,890,973,509,607,919,1018,754,1056,1251,1498,13352,20826,33079,42644,13532,15997,24712,27026,18850,26400,31275,37450,15425,21775,25650,30225,261,37,283.216908
girlfriendisbetter,404,597,930,1278,361,609,841,907,906,1349,1459,1644,10445,25364,41294,51519,9037,15237,21109,23449,22650,33725,36475,41100,17250,25825,27975,31200,72,53,352.24642585
girlsandboys,233,394,581,783,187,338,480,603,440,855,1107,1207,5825,15850,23370,30796,4675,8626,12360,15543,11000,21375,27675,30175,8525,17075,21575,23400,0,41,183.06092805
girlsnotgrey,192,456,679,869,174,347,676,835,566,881,1172,1557,5046,11592,28241,36488,4428,8753,17023,21358,14150,22025,29300,38925,11375,17900,23300,29975,14,31,191.129218
girlsonfilm,165,225,359,485,217,434,708,920,511,811,1387,2001,6129,11676,17051,21019,5449,10874,17760,23060,12775,20275,34675,50025,10225,16025,27475,38850,27,35,212.227440396
girlswhoplayguitars,208,395,527,691,214,393,608,680,599,906,1331,1533,5200,9875,24284,30505,5404,9916,15339,17231,14975,22650,33275,38325,11800,17500,25775,29400,140,35,190.14189
girluwant,201,326,409,500,182,363,534,641,550,736,940,1481,5610,9965,12371,15011,4694,9553,13846,17089,13750,18400,23500,37025,10450,14125,18200,28300,0,32,178.72504825
girlyouhavenofaith,223,353,476,802,214,338,460,749,595,864,1062,1157,5809,17311,24151,36918,5503,16935,23770,35741,14875,21600,26550,28925,11725,17400,21575,23575,38,22,201.894069
giveitall,266,290,606,854,249,329,543,829,625,846,1033,1265,7226,13849,29813,39123,6561,8561,13947,21103,15625,21150,25825,31625,12200,16750,19850,24075,0,48,174.608244
giveitaway,288,344,570,881,237,399,628,741,731,1251,1588,1820,7642,11243,19843,31127,6320,10460,16215,19053,18275,31275,39700,45500,13850,23700,29750,33775,20,90,284.517695385
giveittome,161,254,381,529,251,457,730,863,560,788,1313,1441,5252,14121,19993,23684,6491,11641,18520,22013,14000,19700,32825,36025,11200,15400,25550,27375,82,38,191.549395
givesyouhell,148,281,407,467,126,234,267,303,469,666,794,920,4231,10082,16256,18627,3510,6306,7434,8811,11725,16650,19850,23000,9075,12700,14800,16975,0,39,212.516858271
godzilla,168,234,365,603,201,283,358,455,540,878,1178,1397,5391,9196,13951,21085,5574,7624,9637,12471,13500,21950,29450,34925,10775,18350,24250,28500,12,32,225.422752
goingmobile,273,349,681,842,211,387,601,675,486,727,1246,1712,7750,12348,24008,30527,6413,10878,16363,19128,12150,18175,31150,42800,9325,13775,23150,31350,72,36,221.99065
goingunderground,219,351,453,612,241,288,602,677,553,755,949,1408,6960,16001,19202,26786,7018,8337,16367,18872,13825,18875,23725,35200,10975,14950,18600,27600,0,54,176.388943737
gone,253,414,752,853,288,442,697,835,591,913,1329,1548,7489,11880,31552,35348,7305,11155,18512,22153,14775,22825,33225,38700,11650,18450,25375,29025,0,41,268.5420975
gone_mg,220,378,659,755,205,352,624,652,796,1103,1319,1552,6563,15409,24658,30930,5295,8970,16011,17530,19925,27625,33025,38875,15350,21775,24375,27375,50,49,268.059770592
goneaway,195,349,686,741,229,457,791,900,835,1106,1389,1716,5835,17729,31982,35800,5869,11569,19919,22761,20875,27650,34725,42900,16225,21875,26825,32725,0,51,267.843142
gonnaseemyfriend,202,364,642,764,227,363,541,597,509,691,1100,1449,5254,16403,29361,34100,6239,9867,14332,17004,12725,17275,27500,36225,10400,14325,21975,27900,0,36,169.189493079
goodmorningblackfriday,467,886,1532,2502,423,738,1143,1488,1041,1356,2133,3063,12932,24116,45289,70610,12702,20634,31178,41901,26025,33900,53325,76575,20800,27200,41500,57875,152,68,400.530489271
goodtime,300,519,852,1236,279,391,561,734,808,1264,1832,2345,8551,15727,25998,38368,7261,11877,16168,20858,20200,31600,45800,58625,15525,24100,35200,45325,0,60,319.092340004
goodtimesroll,323,404,662,753,283,338,502,502,594,928,1089,1157,8759,15623,22251,25433,7705,9131,13249,13249,14850,23200,27225,28925,11900,18100,21175,22075,18,40,228.213481
gotsome,176,310,476,559,216,400,672,777,523,773,1316,1591,5198,10440,15409,19203,6066,10883,17770,21392,13075,19325,32900,39775,10850,16375,27375,32450,0,46,184.706357375
gougeaway,102,177,315,331,161,321,636,642,496,841,933,1007,3865,9010,14013,16016,4180,8180,16055,16205,12400,21025,23325,25175,10000,16825,18525,20025,8,27,166.995991358
gowiththeflow,327,589,602,664,463,479,949,950,615,918,1514,1687,9759,16501,30348,32820,11575,11987,23881,23906,15375,22950,37850,42175,11800,18175,30275,33675,0,31,185.709804
goyourownway,238,374,818,836,254,485,953,978,753,937,1469,1994,6466,16560,34330,34936,6350,12137,23837,24960,18825,23425,36725,49850,13650,17225,27700,37175,132,29,233.230835
grace,147,253,416,594,165,322,478,659,354,555,873,1005,4395,10017,17435,24650,4377,8308,12232,16853,8850,13875,21825,25125,6975,10900,16600,18750,0,34,150.462844
greengrass,899,1379,2033,3058,1006,1580,1943,2324,2139,3209,3514,3964,24618,38557,57455,86914,25822,41276,50558,60344,53500,80275,87900,99150,45625,68700,74800,84575,310,24,589.328861
greengrass_short,441,687,956,1414,452,700,862,1021,986,1527,1748,2031,11912,19710,28465,41074,11561,18655,22705,26926,24675,38225,43750,50825,21100,32725,37275,43475,184,25,308.9333015
grind,214,299,394,532,265,450,486,575,778,1106,1390,1475,7867,10532,14877,19061,6661,11880,13755,15980,19450,27650,34750,36875,15300,21475,26950,28550,0,27,287.600456
guerrillaradio,214,331,574,780,167,247,417,589,707,1008,1261,1547,5365,8290,15005,20155,4487,6496,11253,15997,17675,25200,31525,38675,13900,19700,24575,29675,0,38,209.712535085
gunpowderandlead,151,294,473,578,110,211,386,417,440,591,706,836,4348,10249,15566,20138,3234,6034,10478,11653,11000,14775,17650,20900,9175,12225,14325,16575,0,43,186.643918
hadadad,193,296,468,895,240,344,578,1147,510,793,1265,1725,5536,12049,18635,31314,6210,8903,14789,29188,12750,19825,31625,43125,10050,15950,24875,33750,0,32,229.7487605
hairofthedog,257,409,609,790,246,384,574,748,742,1281,1496,1643,6749,11204,18717,25306,6976,10689,15574,21342,18550,32025,37400,41075,14500,24775,28200,31025,48,48,275.56634175
hallowedbethyname,361,671,1288,1915,312,568,1066,1642,1121,1430,2040,2562,9373,21093,39356,62002,9126,15622,28333,43569,28100,35875,51175,64300,21700,28025,38775,48575,60,43,466.93051225
hammerhead,334,472,843,1108,301,459,902,1010,805,1149,1783,2264,8872,22372,38829,48577,7717,11697,22760,26840,20125,28725,44575,56600,15675,22100,34225,41575,16,49,274.145308
hammersmashedface,414,774,1048,1528,421,841,1062,1539,824,1260,1740,2730,10350,20150,29150,42518,10525,21025,26550,39393,20600,31500,43500,68250,16300,25300,34025,53425,0,49,245.7830465
handlebars,190,283,332,428,138,214,245,302,387,623,949,1130,6585,14314,16223,20148,6450,8572,9530,11435,9675,15575,23725,28250,7450,11975,17975,21250,0,66,212.213888302
handmedownworld,165,301,569,758,166,309,548,677,587,819,1093,1233,4629,15412,28254,34936,4558,8187,14228,17459,14675,20475,27325,30825,12225,17300,22225,24950,12,42,212.411539633
handsdown,197,403,688,847,138,254,491,503,457,751,1081,1586,5246,13228,32315,38528,3516,6473,12938,13638,11425,18775,27025,39650,9150,14750,20750,30050,0,41,190.91197
hangar18,425,690,1114,1902,403,689,1265,1661,899,1472,2208,2643,11391,22175,34384,54126,10627,18023,32531,42843,22475,36800,55200,66075,17600,28750,42950,50950,0,16,313.679293938
hangingonthetelephone,150,243,358,487,296,312,534,584,431,628,1091,1277,4185,7556,12783,16169,7496,7896,13446,14705,10775,15700,27275,31925,8500,12475,21750,25050,14,29,139.280056
hangyoufromtheheavens,172,223,247,310,171,179,215,267,467,648,883,1153,4300,9700,12306,14650,5139,5627,7466,8742,11675,16200,22075,28825,9625,13500,18325,24225,0,33,216.8847305
hanukkahblessings,293,374,515,672,86,131,158,182,589,941,1211,1353,7667,13001,20753,27536,3359,5672,6977,8000,14725,23525,30275,33825,11975,19100,23950,26475,0,37,206.886672
hardtohandle,255,264,428,536,380,392,592,667,469,741,901,1015,7395,10292,18400,21713,10206,10496,15502,17373,12450,20100,24375,27525,11325,18825,22200,24725,36,44,198.1640255
haypocorockandroll,410,537,789,923,386,572,960,1025,826,1170,1430,1467,12271,24768,35870,41249,10145,14795,25540,27158,20675,29275,35800,36750,16300,23175,28550,29025,73,37,334.00587
headknocker,159,270,428,516,190,268,446,448,461,731,937,1270,5277,12141,19067,21552,5876,7841,12395,12445,11525,18275,23425,31750,8900,14075,17125,21750,0,32,203.697839
headoverfeet,290,449,661,884,207,265,340,403,801,1253,1681,2341,7975,20697,33384,46386,7112,8563,10845,12996,20025,31325,42025,58525,15225,24450,32375,44775,0,87,316.64091975
headphoneson,202,390,668,752,182,355,641,731,506,727,1154,1326,5083,12833,25528,30290,4604,8974,16631,18881,12650,18175,28850,33150,10150,14500,22875,25625,0,48,181.714104
heartbreaker,222,380,575,703,226,376,560,609,549,795,1085,1351,5682,16798,27430,33364,6250,10000,15209,16890,13750,19925,27175,33850,11550,16500,21525,25975,112,35,211.2557705
heatseeker_live,207,344,627,917,274,468,895,972,678,888,1119,1546,5904,12813,20508,32643,6895,11937,22624,24549,16975,22250,28025,38725,13500,17625,22125,30675,0,57,205.82101
heavenbesideyou,263,462,615,939,341,496,716,926,954,1390,1617,1744,8210,18282,26078,40755,9108,13603,19842,25092,23850,34750,40425,43600,18500,26750,30925,33250,0,44,328.1837385
heavyduty,300,490,637,853,301,422,512,530,637,944,1243,1566,7922,15182,19449,25378,7744,11280,14100,15154,15975,23675,31200,39300,12900,19475,24675,29625,19,24,298.38553725
hellagood,166,251,323,425,322,436,699,959,766,1110,1264,1487,4270,6395,9772,12334,8145,11004,17631,24127,19150,27750,31600,37175,14900,21450,24025,27750,14,35,245.739069
hellaintabadplace_live,237,342,526,722,254,464,858,927,552,857,1187,1368,7449,17180,23550,30238,6706,11980,21916,23842,13825,21475,29750,34300,10925,16975,23350,26525,0,40,254.4750185
hellhole,178,338,551,779,192,353,533,586,522,788,1007,1291,4915,11556,18480,24203,4938,8999,13782,15106,13100,19775,25275,32425,11000,16825,20675,25500,0,30,210.750253
hellinabucket,439,637,837,1104,346,552,919,1018,848,1253,2094,2587,12709,17874,26263,33649,8929,14400,25141,28053,21200,31325,52350,64675,16550,24400,40450,49525,0,70,334.888647
hellionelectriceye,393,502,665,888,356,563,578,1106,768,998,1246,1481,11359,16101,27167,34337,9878,15152,15617,28895,19200,24950,31150,37025,15475,19850,24700,28925,46,39,262.363943
hellothere,121,227,429,447,99,166,295,308,285,389,481,583,3289,6803,12973,14581,2781,4510,8108,9004,7125,9725,12025,14575,5950,8125,10050,11950,15,25,99.80334825
hellsbells_live,232,363,578,895,222,363,715,786,587,852,1176,1410,5896,12256,22042,31332,5976,9588,19267,21040,14700,21350,29450,35325,11200,16475,22575,25875,0,34,345.326143
henrietta,209,412,664,940,194,405,608,765,549,696,1226,1553,5387,18329,29315,43055,4946,10221,15749,19537,13725,17400,30650,38825,10925,13350,22975,28100,0,56,212.451832
herecomesmygirl,228,379,653,812,263,400,606,753,788,1416,1557,1784,6855,15722,26062,30508,7687,11296,17143,20883,19725,35450,38975,44700,15100,27350,29650,33050,0,42,291.002688871
herecomesyourman,199,369,651,694,200,366,583,633,797,1057,1238,1418,5089,9815,20002,23208,5132,9282,14707,16872,19925,26425,30950,35450,15650,20675,24025,27175,0,42,205.050593
hereitgoesagain,255,342,560,585,211,333,465,492,532,756,1035,1158,6675,12099,24260,26319,5365,8415,11721,12429,13400,19075,26175,29375,10900,15625,21225,23800,0,46,183.545909
heroes,462,545,769,865,680,680,1359,1371,1223,1870,2250,2425,15432,17907,27066,30585,17000,17000,33984,34284,30625,46800,56300,62075,27200,42200,49875,53350,0,38,378.568368
hey,205,302,471,587,158,265,428,475,460,599,671,823,6148,9718,17323,21346,4223,8044,12125,13162,11500,14975,16775,20575,9450,12400,13750,16550,14,48,213.7831495
heybaby,260,463,685,782,247,298,355,377,390,754,1054,1689,6500,12055,19154,22259,6229,8920,11671,12176,9750,18850,26350,42225,7550,14400,20325,32475,0,78,208.5551
heydude,204,360,615,1041,272,432,811,1006,837,1229,1644,2104,6063,15981,25372,41312,6974,11031,21255,26309,20925,30725,41100,52600,17150,25025,32800,41550,0,50,249.034666
heyjohnnypark,317,497,676,827,276,421,626,678,649,972,1243,1580,8123,20498,27530,34710,6982,10618,16072,17377,16225,24300,31075,39500,13575,20200,25250,31550,0,41,253.832252021
heyjohnwhatsyournameagain,258,410,646,917,246,415,518,653,561,808,1078,1419,7674,19362,33157,49688,7581,11992,14915,19348,14025,20200,26950,35475,10625,15550,20350,26250,0,33,214.910949
hierkommtalex,394,478,858,984,236,479,896,920,585,874,1343,1477,11155,17079,33932,43361,6331,12448,22873,23473,14625,21850,33575,36925,11075,17100,25800,27300,35,42,238.137325392
highvoltage_live,573,956,1311,1822,624,1184,1791,2296,1587,2367,3555,3776,16938,27268,54552,69553,16416,30635,46008,58633,39700,59225,88950,94475,30750,45800,68900,71500,100,68,544.606726
highwaystar,656,1035,1294,1480,798,1416,1720,1764,1251,1632,2087,2329,20816,32371,42324,50356,20655,36115,43735,44859,31300,40850,52225,58300,25925,34150,42400,46550,185,55,367.397158
highwaytohell_live,216,351,558,661,95,174,212,217,473,768,888,994,6444,13748,25917,30721,2818,4793,5770,6127,11850,19250,22250,24925,9650,15200,17600,19550,0,40,258.907941462
hillbillydeluxe,314,430,543,891,209,315,359,532,532,721,875,1008,8156,13080,16474,26019,5519,8804,9924,14249,13300,18025,21875,25200,10175,13900,16575,18450,15,42,266.349108
hitcharide,310,502,685,849,302,341,523,640,701,978,1199,1490,8509,13310,21988,28871,8402,9581,14225,18206,17525,24450,29975,37250,14025,19925,23850,28800,160,33,252.067524
hitmewithyourbestshot,163,283,379,493,147,262,307,374,547,763,907,1010,4643,7832,16563,20301,4605,7462,8686,10361,13700,19125,22725,25300,11125,15250,17425,18725,30,28,174.03789375
holidayincambodia,341,574,973,1303,372,684,1240,1400,656,855,1470,1928,10107,16493,28961,37254,9300,17100,31351,50414,16400,21375,36750,48200,12750,16775,27950,35875,69,35,228.736835058
holywars,503,776,1428,2313,466,696,1359,2093,1186,1648,2288,3172,13820,24957,44100,68024,12544,18814,36326,54625,29650,41200,57200,79300,24175,33175,45650,62875,0,48,394.186090325
hongkonggarden,197,354,553,755,161,314,520,520,370,521,758,975,4925,13425,25176,40947,4700,8522,14614,14614,9250,13025,18950,24375,7075,10200,14475,18500,26,26,169.858608
howdoyoulikemenow,215,340,525,695,185,270,393,478,615,1021,1086,1192,6281,9673,19694,30277,4661,6786,9873,13897,15375,25525,27150,29800,12600,20675,21350,23375,59,50,213.635798
hungrylikethewolf,218,295,488,563,356,367,647,666,722,990,1236,1563,7109,11982,23828,27427,8945,9220,16817,17316,18050,24750,30900,39075,13925,18850,23025,29425,16,44,232.377784
hymn43,270,360,445,590,257,331,456,585,553,745,1059,1360,6829,10052,13528,17787,6425,8515,12060,15345,13850,18650,26525,34075,10950,15075,20675,26225,0,30,198.969784
hysteria,282,506,653,884,347,669,958,1314,602,766,1055,1277,7505,13171,19975,26567,8708,16758,23983,32883,15050,19150,26375,31925,12900,16300,21825,26250,96,20,228.393508
iaintsuperstitious,178,300,562,800,200,291,421,519,409,551,810,1131,5281,8620,15810,21752,6076,7823,12095,14331,10225,13775,20250,28275,8475,11825,16600,23000,32,32,165.56308925
iamarock,156,283,418,563,137,213,282,345,328,560,851,1170,4314,9552,13681,17466,3845,6126,8946,10367,8200,14000,21275,29250,6325,10425,16625,23025,0,26,173.4278745
ibleed,134,176,276,399,117,228,435,480,384,528,677,943,4022,6305,9812,13570,3036,5811,10990,12117,9600,13200,16925,23575,8275,11325,14350,19750,62,26,160.209785
icanttakemyeyes,124,213,326,403,106,157,224,293,209,329,445,553,4006,8471,12360,14961,3703,4978,6863,8642,5225,8225,11125,13825,4075,6575,8700,10575,0,39,134.833794
icarus,428,638,871,1263,360,561,691,886,889,1289,1713,2145,12761,20752,28409,39687,11223,16839,20399,25918,22275,32300,42925,53775,18300,26675,35100,42875,37,32,344.5804055
ickythump,186,352,539,860,181,355,462,666,358,491,633,691,4888,11520,17566,26626,4663,14226,18671,24726,8950,12275,15825,17275,7125,9725,12475,13575,80,23,245.272401531
icouldhavelied,218,390,607,651,124,207,230,235,433,642,739,739,5864,12080,20882,22154,3556,6480,7333,7447,10825,16050,18475,18475,8900,13350,15300,15300,0,29,255.358608
idealistictypes,281,434,704,1463,271,424,715,1550,616,854,1624,1998,7191,11271,19349,41220,6865,10804,18190,39149,15400,21350,40600,49950,11925,16700,31675,38350,0,32,204.5
ididntsayiwas,289,412,633,820,246,319,474,540,682,916,1192,1598,8119,20494,29475,36726,8166,11173,15339,17238,17050,22900,29800,39950,13800,18175,23025,30975,0,45,251.947109
idiotsrule,156,225,368,644,170,358,518,890,381,668,1140,1467,4131,11260,15595,24926,4316,9022,13025,22703,9525,16700,28500,36675,7425,12975,22050,27725,0,33,181.6849155
idontcare,242,445,690,873,179,324,459,533,552,756,1053,1574,6050,14312,22748,28060,5291,8916,12390,14267,13800,18900,26325,39350,11050,15250,20650,30975,0,51,217.608946
idontlikeyou,221,391,586,748,216,382,584,713,545,857,1167,1492,5997,16576,25691,29714,5454,9610,15878,19103,13625,21425,29175,37300,10975,17200,23200,29675,0,39,175.612316
idontwanttogotoschool,170,273,413,545,169,256,380,496,463,621,1085,1234,4271,7921,12915,16700,4225,6412,10574,13468,11575,15525,27125,30850,9275,12425,21325,23525,0,39,162.346362
ifiaintgotyou,140,250,344,445,155,305,403,485,440,567,897,1019,4319,13460,18255,21203,4025,7775,11044,13094,11000,14175,22425,25475,8650,11025,17275,19000,0,29,145.933184
ifoughtthelaw,246,322,357,466,309,365,496,591,540,801,1148,1365,8233,12697,14027,18971,8461,9679,12534,14909,13500,20025,28700,34125,12375,18600,26500,31175,112,30,159.682721
